training_losses,validation_losses,Training Accuracy,Validation Accuracy
0.6971443574655084,0.697421716566275,0.6545249182316992,0.6605385078324212
0.6853538305604688,0.9734351692366823,0.6792273919822441,0.33744442814754116
0.681039858231951,0.9726336987458524,0.6903731181389756,0.3394614905118942
0.6897599034794472,0.960421338965086,0.6658417281901671,0.3394614905118942
0.693172032684846,0.9222278986390514,0.6561608061504861,0.3394614905118942
0.6931530659129148,0.9250596599397274,0.6561608061504861,0.3394614905118942
0.6931502065198835,0.9071481390319445,0.6561608061504861,0.3394614905118942
0.6931497192266745,0.8965562936936359,0.6561608061504861,0.3394614905118942
0.6931484722855248,0.913270748100045,0.6561608061504861,0.3394614905118942
0.6931487256065689,0.9032466726743577,0.6561608061504861,0.3394614905118942
0.6578088246698673,0.6925636150997722,0.7533789472654462,0.6620926074683666
0.6357416834099254,0.6929954212012234,0.813672461753918,0.6607699895070659
0.6353467193438801,0.6567783905695619,0.814710123050544,0.8149204005797704
0.6351642457388272,0.6909388359324872,0.8153237983998325,0.6630392120116286
0.6353004405807187,0.6922033606467366,0.8153353176183171,0.6630392120116286
0.6345676529004827,0.6931471826068102,0.8166252623001734,0.6605385078324212
0.6351312281096977,0.6930883686532491,0.8152549669353498,0.6605385078324212
0.6349308702611087,0.6921962681532362,0.8157462345229255,0.6630392120116286
0.6349223375101284,0.6902390944877617,0.8154783302711116,0.6648467265897327
0.6353682821846838,0.6931459393135843,0.8147797016426921,0.6605385078324212
0.6347720695114266,0.6931471810466259,0.8159762564011745,0.6605385078324212
0.6349310165190261,0.6931424206339547,0.8158537571628889,0.6605385078324212
0.6351674158642052,0.6926223933496705,0.8152389661926362,0.6621426882015334
0.6360805484141352,0.6921686035020457,0.8130810063125359,0.6630392120116286
0.6354642446788465,0.6931466957488259,0.8147669430408213,0.6605385078324212
0.6349199349397019,0.69290640021527,0.8158005137617389,0.6612110175192356
0.6361096440364175,0.6928812171528017,0.8131824983283877,0.6609795358445909
0.6344570711428443,0.6930985637913653,0.8173166009494,0.6605385078324212
0.6351587358311325,0.6931328758239927,0.8156139831990004,0.6605385078324212
0.6355885870437502,0.6926701703419985,0.8143740751677089,0.6620926074683666
0.6345115170004461,0.6931412510298086,0.817355978095697,0.6605385078324212
0.6346977478829372,0.69304991389625,0.8165028221491311,0.6605385078324212
0.6352028861095893,0.6930234592297169,0.81507766370972,0.6607555217213101
0.6348891252177992,0.6931471677005505,0.8160723796528246,0.6605385078324212
0.6362928415071217,0.6931471824678779,0.812488368815846,0.6605385078324212
0.6346343402567874,0.693147187493496,0.8167882712764872,0.6605385078324212
0.6340256526013905,0.6931471843499514,0.8182612977301081,0.6605385078324212
0.6342038124790259,0.6922115814806068,0.817566865020328,0.6630392120116286
0.634880042713561,0.6929679052617714,0.815675614712139,0.6607699895070659
0.6347917486398867,0.6931189805910463,0.8159784019614259,0.6605385078324212
0.6349131742133872,0.6931471660241754,0.8160274390959077,0.6605385078324212
0.6344999589162926,0.6931470882346982,0.8166486270104846,0.6605385078324212
0.635235444752282,0.6931471824646117,0.8148925460668074,0.6605385078324212
0.6355092301319372,0.693147182467293,0.8143467277081476,0.6605385078324212
0.6355013021269387,0.6931471824648505,0.8141783058850302,0.6605385078324212
0.6342824218865497,0.6931471824833763,0.817142454493377,0.6605385078324212
0.6358461102541849,0.6927978003293183,0.8134978441521525,0.6616515794561969
0.6349345978962534,0.6931471942222216,0.815457788709965,0.6605385078324212
0.633765535168711,0.6931471992271445,0.8185991198859282,0.6605385078324212
0.6350549267681632,0.6931471994188024,0.815280614938173,0.6605385078324212
0.6393181170346627,0.6931471824645996,0.8036378958365984,0.6605385078324212
0.6931472213955687,0.6931471824645996,0.6561608061504861,0.6605385078324212
0.6931472926535438,0.6931471824645996,0.6561608061504861,0.6605385078324212
0.6931919272288032,0.6931471824646012,0.6561608061504861,0.6605385078324212
0.69314730612583,0.6931471824646004,0.6561608061504861,0.6605385078324212
0.6933824574076236,0.6931471824645996,0.6558980392809544,0.6605385078324212
0.6932201660805606,0.6931471824645996,0.6561065526782639,0.6605385078324212
0.6932268638258523,0.6931471824645996,0.6561029357318249,0.6605385078324212
0.6931477347054895,0.6931471824645996,0.6561608061504861,0.6605385078324212
0.6931472604236979,0.6931471824645996,0.6561608061504861,0.6605385078324212
0.6931477886785531,0.6931471824646017,0.6561608061504861,0.6605385078324212
0.6931471706896853,0.693147182464608,0.6561608061504861,0.6605385078324212
0.6932691197461556,0.6931471824645998,0.6561029358353052,0.6605385078324212
0.6933297122239745,0.6931471824645996,0.6559420420995189,0.6605385078324212
0.6931474459446825,0.6931471824645996,0.6561608061504861,0.6605385078324212
0.693147251678972,0.6931471824645996,0.6561608061504861,0.6605385078324212
0.6932317500933984,0.6931471824645996,0.6560522992060416,0.6605385078324212
0.6931497251441385,0.6931471824645996,0.6561608061504861,0.6605385078324212
0.6931471778744293,0.6931471824645996,0.6561608061504861,0.6605385078324212
0.6933844153933394,0.6931471824645996,0.6558352853171527,0.6605385078324212
0.6931471824974417,0.6931471824645996,0.6561608061504861,0.6605385078324212
0.6931471823003316,0.6931471824645996,0.6561608061504861,0.6605385078324212
0.6931697466659184,0.6931471824645996,0.6562206720829837,0.6605385078324212
0.6931471845272088,0.6931471824645996,0.6561608061504861,0.6605385078324212
0.69338144846694,0.6931471824645996,0.6558507862500846,0.6605385078324212
0.6931471824889917,0.6931471824645996,0.6561608061504861,0.6605385078324212
0.693147182484105,0.6931471824645996,0.6561608061504861,0.6605385078324212
0.6931471824914611,0.6931471824645996,0.6561608061504861,0.6605385078324212
0.6931265709677412,0.6931471824645996,0.6562150596227083,0.6605385078324212
0.6931471824839096,0.6931471824645996,0.6561608061504861,0.6605385078324212
0.693147182482323,0.6931471824645996,0.6561608061504861,0.6605385078324212
0.6931471824870999,0.6931471824645996,0.6561608061504861,0.6605385078324212
0.6931471824860228,0.6931471824645996,0.6561608061504861,0.6605385078324212
0.6931471824927831,0.6931471824645996,0.6561608061504861,0.6605385078324212
0.6931337857119694,0.6931471824645996,0.656218676465667,0.6605385078324212
0.6931471834213979,0.6931471824645996,0.6561608061504861,0.6605385078324212
0.6931471829225972,0.6931471824645996,0.6561608061504861,0.6605385078324212
0.693139592270886,0.6931471824645996,0.6562168096813062,0.6605385078324212
0.6931557207856178,0.6931471824645996,0.6562205431982875,0.6605385078324212
0.6932045091129666,0.6931471824645996,0.6561625562608242,0.6605385078324212
0.6931658314476619,0.6931471824645996,0.6561608061504861,0.6605385078324212
0.6931606665231779,0.6931471824645996,0.6561608061504861,0.6605385078324212
0.6931472271229306,0.6931471824645996,0.6561608061504861,0.6605385078324212
0.6931471847668893,0.6931471824645996,0.6561608061504861,0.6605385078324212
0.6931471825346881,0.6931471824645996,0.6561608061504861,0.6605385078324212
0.6931471842742495,0.6931471824645996,0.6561608061504861,0.6605385078324212
0.6931471850029234,0.6931471824645996,0.6561608061504861,0.6605385078324212
0.693105464573002,0.6931471824645996,0.6562710631535285,0.6605385078324212
0.69314717357312,0.6931471824645996,0.6561608061504861,0.6605385078324212
0.693147280683929,0.6931471824645996,0.6561608061504861,0.6605385078324212
